pais,edad,arch,theta_star,eta0
ES,45,flat,0.0445546272629098,0.6088656152948703
ES,45,cum,0.07928166656610298,0.6088656152948703
ES,50,flat,0.055525544593986884,0.5699696439045298
ES,50,cum,0.05092339799220424,0.5699696439045298
ES,55,flat,0.07770745428973275,0.5137889613550007
ES,55,cum,0.03671819288662757,0.5137889613550007
ES,60,flat,0.077707454289733,0.4426595865878182
ES,60,cum,0.01535771015394038,0.4426595865878182
FR,45,flat,0.05028307933956967,0.6055735063378628
FR,45,cum,0.08947502369603058,0.6055735063378628
FR,50,flat,0.06266454318464247,0.5667397767986417
FR,50,cum,0.05747069201977349,0.5667397767986417
FR,55,flat,0.08769841269841272,0.5109308897032898
FR,55,cum,0.04143910340062258,0.5109308897032898
FR,60,flat,0.08769841269841275,0.4420316580751347
FR,60,cum,0.017332272888018373,0.4420316580751347
DE,45,flat,0.047565075050944296,0.6034467293860281
DE,45,cum,0.0846385359286776,0.6034467293860281
DE,50,flat,0.059277270580067196,0.5672228643846463
DE,50,cum,0.05436416812681277,0.5672228643846463
DE,55,flat,0.08295795795795795,0.5156866077518618
DE,55,cum,0.03919915186545379,0.5156866077518618
DE,60,flat,0.082957957957958,0.4553362241331601
DE,60,cum,0.01639539327244983,0.4553362241331601
IT,45,flat,0.04756507505094434,0.6044001440555473
IT,45,cum,0.08463853592867766,0.6044001440555473
IT,50,flat,0.05927727058006707,0.5663139173034517
IT,50,cum,0.05436416812681265,0.5663139173034517
IT,55,flat,0.08295795795795805,0.5107278214183573
IT,55,cum,0.03919915186545381,0.5107278214183573
IT,60,flat,0.08295795795795768,0.4367624620383994
IT,60,cum,0.016395393272449755,0.4367624620383994
BE,45,flat,0.050283079339569714,0.6353946545132201
BE,45,cum,0.08947502369603066,0.6353946545132201
BE,50,flat,0.06266454318464251,0.5984587171866269
BE,50,cum,0.05747069201977353,0.5984587171866269
BE,55,flat,0.08769841269841275,0.5455393632227753
BE,55,cum,0.04143910340062259,0.5455393632227753
BE,60,flat,0.08769841269841278,0.4812247082459606
BE,60,cum,0.017332272888018384,0.4812247082459606
PT,45,flat,0.04888632713569274,0.6391633387649887
PT,45,cum,0.08698960637114087,0.6391633387649887
PT,50,flat,0.06092386142951344,0.6065755690587825
PT,50,cum,0.05587428390811306,0.6065755690587825
PT,55,flat,0.08526234567901245,0.5602773684811381
PT,55,cum,0.04028801719504978,0.5602773684811381
PT,60,flat,0.08526234567901267,0.5064722993860081
PT,60,cum,0.016850820863351258,0.5064722993860081
UK,45,flat,0.04399769442212348,0.5749891816299605
UK,45,cum,0.07829064573402678,0.5749891816299605
UK,50,flat,0.05483147528656215,0.5280242873744265
UK,50,cum,0.050286855517301804,0.5280242873744265
UK,55,flat,0.07673611111111094,0.45676128520474135
UK,55,cum,0.03625921547554467,0.45676128520474135
UK,60,flat,0.07673611111111109,0.34514273148413577
UK,60,cum,0.01516573877701607,0.34514273148413577
US,45,flat,0.04292457992402289,0.5706479409828733
US,45,cum,0.07638111778929439,0.5706479409828733
US,50,flat,0.05349412223079236,0.5247828623357398
US,50,cum,0.0490603468461481,0.5247828623357398
US,55,flat,0.07486449864498641,0.4589295509648516
US,55,cum,0.03537484436638508,0.4589295509648516
US,60,flat,0.07486449864498626,0.37800940093581303
US,60,cum,0.014795842709283934,0.37800940093581303
CA,45,flat,0.04512584043294712,0.5984622740690252
CA,45,cum,0.08029809818874534,0.5984622740690252
CA,50,flat,0.05623741055031999,0.564607904068176
CA,50,cum,0.051576262069027344,0.564607904068176
CA,55,flat,0.07870370370370382,0.5171692817208564
CA,55,cum,0.037188938949276724,0.5171692817208564
CA,60,flat,0.07870370370370332,0.4662208925221072
CA,60,cum,0.015554603873862555,0.4662208925221072
