perfil,escenario,npv_trabajador,npv_estado,npv_firma,eta,retenido,renta_pc_equiv,theta_min,regalia_anual,perdida_pension
P1,S0,364379.556456851,337066.64881256147,335236.97148529004,1.0,True,20341.14285714286,0.6314266792150302,,0.0
P1,S1,188769.01468300677,81926.39218875379,871251.5448588493,0.5236270452947877,False,10651.172532204888,0.6314266792150302,,0.20799999999999996
P1,S2,297627.1128824931,116416.02093033979,737156.7562647333,0.8223762376424574,False,16728.07253220489,0.6314266792150302,,0.20799999999999996
P1,S3,253353.56881703084,103288.39831259135,789990.1029708149,0.7008723187728898,False,14256.543960776318,0.6314266792150302,9432.0,0.20799999999999996
P2,S0,323762.14262925927,284835.05673539726,290538.70862058474,1.0,True,25303.2,0.6314266792150302,,0.0
P2,S1,167970.72975203724,67003.48415076357,755084.6722110028,0.5250801906816415,False,13286.209080855711,0.6314266792150302,,0.1907692307692308
P2,S2,262628.2410206237,96607.34478824082,638869.1887627689,0.8174476382772025,False,20684.04108085571,0.6314266792150302,,0.1907692307692308
P2,S3,189151.00161047786,73772.01917614303,728674.7035973915,0.5904994261933555,False,14941.525080855712,0.6314266792150302,3065.4,0.1907692307692308
P3,S0,469943.3756228029,389754.3039192925,409876.2463070786,1.0,True,26234.142857142855,0.6294373250846959,,0.0
P3,S1,234275.96209625475,114560.46382087917,1055952.0531917503,0.5055062718721314,False,13261.523751475188,0.6294373250846959,,0.20799999999999996
P3,S2,366779.7825592837,157269.96662003908,892001.554668919,0.787463263578686,False,20658.423751475188,0.6294373250846959,,0.20799999999999996
P3,S3,381010.5919988343,164742.58829820424,869663.2992451831,0.8177452298276855,False,21452.845180046617,0.6294373250846959,21622.5,0.20799999999999996
