variable,bajo,alto,base,amplitud,actor
penal_salarial,-34506.65801201918,-34506.65801201921,-34506.65801201924,2.9103830456733704e-11,trabajador
hazard_reempleo,-34506.65801201924,-34506.65801201918,-34506.65801201924,5.820766091346741e-11,trabajador
regalia_rcm,-34969.805375041964,-34506.65801201924,-34506.65801201924,463.1473630227265,trabajador
r,-36336.649292556336,-31236.21695279106,-34506.65801201924,5100.432339765277,trabajador
c_tax,-40595.8750654289,-28382.410258959804,-34506.65801201924,12213.4648064691,trabajador
theta (tramo §3.3),-56878.53949533758,-3016.330904300965,-34506.65801201924,53862.208591036615,trabajador
kappa_V,-60112.45881359899,42303.30605584651,-34506.65801201924,102415.7648694455,trabajador
tau,21263.919027458003,-88625.06271505554,-34506.65801201924,109888.98174251354,trabajador
penal_salarial,-9496.775517227012,-9496.775517227012,-9496.77551722704,0.0,estado
hazard_reempleo,-9496.775517227015,-9496.77551722704,-9496.77551722704,2.546585164964199e-11,estado
regalia_rcm,-9072.995680061198,-9496.77551722704,-9496.77551722704,423.77983716584276,estado
r,-10000.417926865499,-8596.698651742292,-9496.77551722704,1403.719275123207,estado
c_tax,-3925.1419133571326,-15100.462211276405,-9496.77551722704,11175.320297919272,estado
theta (tramo §3.3),-17190.674666173494,1403.6405263880151,-9496.77551722704,18594.31519256151,estado
kappa_V,-18406.319758282378,17238.6632841784,-9496.77551722704,35644.98304246078,estado
tau,8516.608252514852,-29021.896974812335,-9496.77551722704,37538.50522732719,estado
hazard_reempleo,40100.2020389894,40100.2020389894,40100.2020389894,0.0,firma
c_tax,40100.2020389894,40100.2020389894,40100.2020389894,0.0,firma
regalia_rcm,40100.2020389894,40100.2020389894,40100.2020389894,0.0,firma
penal_salarial,40100.2020389894,40100.2020389894,40100.2020389894,0.0,firma
r,42226.835689039435,36299.62108484516,40100.2020389894,5927.214604194276,firma
theta (tramo §3.3),68546.01445223414,-11.003961659502238,40100.2020389894,68557.01841389365,firma
kappa_V,72762.44253323547,-57886.519443748286,40100.2020389894,130648.96197698376,firma
tau,-28943.259721874143,109143.66379985306,40100.2020389894,138086.9235217272,firma
